sector_id,area_m2,LST,NDVI,vegetation_cover_pct,vulnerability_index,vulnerability_class,population_density_per_km2,population_density_class,dist_hospital_km,outdoor_exposure,HHSI_season_mean,HHSI_season_max,danger_days
SEC-G51,900.0,37.5,0.44,31.8,0.427,Moderate,5635.4,Medium,0.26,Medium,36.18958904109589,48.12,13
SEC-G52,900.0,37.5,0.3,14.8,0.694,High,24912.8,High,0.23,High,38.759589041095886,51.54,33
SEC-G53,900.0,37.4,0.29,13.8,0.696,High,24912.8,High,0.21,High,38.77876712328767,51.57,33
SEC-G54,900.0,37.3,0.3,14.8,0.63,Moderate,20563.9,High,0.18,High,38.143013698630135,50.72,27
SEC-G55,900.0,37.3,0.39,25.0,0.629,Moderate,20563.9,High,0.16,Medium,38.13356164383562,50.71,27
SEC-G56,900.0,37.5,0.37,22.5,0.565,Moderate,16527.1,High,0.15,Medium,37.51835616438356,49.89,20
SEC-G57,900.0,37.7,0.31,15.8,0.476,Moderate,11053.8,Medium,0.13,High,36.66205479452055,48.75,17
SEC-G58,900.0,38.0,0.27,12.0,0.479,Moderate,11053.8,Medium,0.12,High,36.69041095890411,48.79,17
SEC-G59,900.0,38.4,0.25,10.3,0.39,Moderate,4101.1,Low,0.12,High,35.83397260273973,47.65,8
SEC-G60,900.0,38.9,0.28,12.9,0.397,Moderate,4101.1,Low,0.13,High,35.90150684931507,47.74,9
SEC-G61,900.0,39.1,0.24,9.5,0.456,Moderate,8253.1,Medium,0.14,High,36.46876712328767,48.5,16
SEC-G62,900.0,39.2,0.18,5.3,0.448,Moderate,8253.1,Medium,0.15,High,36.39164383561644,48.39,15
SEC-G63,900.0,39.1,0.17,4.8,0.33,Moderate,1087.4,Low,0.17,High,35.25671232876713,46.88,1
SEC-G64,900.0,38.8,0.29,13.8,0.326,Low,1087.4,Low,0.19,High,35.21808219178082,46.83,1
SEC-G65,900.0,38.5,0.53,46.2,0.428,Moderate,7840.9,Medium,0.21,Medium,36.199315068493156,48.14,13
SEC-G66,900.0,38.2,0.57,53.4,0.427,Moderate,7840.9,Medium,0.24,Low,36.18958904109589,48.12,13
SEC-G67,900.0,37.9,0.46,34.8,0.375,Moderate,4520.9,Medium,0.26,Medium,35.68931506849315,47.46,6
SEC-G68,900.0,37.8,0.42,29.0,0.383,Moderate,5181.5,Medium,0.29,Medium,35.76671232876712,47.56,7
SEC-G69,900.0,37.8,0.39,25.0,0.38,Moderate,5181.5,Medium,0.32,High,35.73794520547945,47.52,7
SEC-G70,900.0,37.7,0.35,20.1,0.372,Moderate,5181.5,Medium,0.34,High,35.660821917808214,47.42,6
SEC-H01,900.0,37.8,0.31,15.8,0.254,Low,1179.7,Low,1.72,High,34.52479452054794,45.91,0
SEC-H02,900.0,37.8,0.32,16.8,0.259,Low,1179.7,Low,1.7,High,34.57260273972603,45.97,0
SEC-H03,900.0,37.6,0.29,13.8,0.265,Low,1179.7,Low,1.67,High,34.63095890410959,46.05,1
SEC-H04,900.0,37.6,0.28,12.9,0.271,Low,1179.7,Low,1.64,High,34.6886301369863,46.13,1
SEC-H05,900.0,37.6,0.29,13.8,0.278,Low,1179.7,Low,1.61,High,34.755616438356164,46.22,1
SEC-H06,900.0,37.6,0.3,14.8,0.285,Low,1194.1,Low,1.58,High,34.82273972602739,46.31,1
SEC-H07,900.0,37.4,0.29,13.8,0.293,Low,1194.1,Low,1.55,High,34.90041095890411,46.41,1
